"fecha_oficia"|"aduana"|"aduana_desc"|"mercaderia"|"mercaderia_desc"|"cantidad"|"kilos"|"importe"
20140417|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|14|372702.2|741315.42
20140424|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|70|1818500.1|3682354.64
20140415|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|54|1417731.14|4613588.87
20140611|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|51|2004243.95|3350057.15
20140527|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|72|4617349.1|10010401.92
20140625|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|87|2783022.04|4423154.38
20140521|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|114|3941346.02|8384069.7
20140307|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|70|2614975.65|7193254.55
20140313|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|43|1724402|4113479.33
20140605|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|77|2144522.22|4890550.29
20140212|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|47|1118633|2450494.96
20140130|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|51|1434223.2|3569907.58
20140829|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|41|900143.08|1996191.83
20140909|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|67|1897243.54|4466832
20141018|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|5|167748.05|491986.61
20141205|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|42|1018849.13|4011309.28
20140419|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|6|133242.2|187061.26
20140814|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|62|1838454.88|3693618.16
20140806|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|63|1549605.96|3147215.95
20141028|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|45|1402625.72|3940071.92
20141115|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|8|114689.04|258815.69
20140517|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|5|270898.56|494220.1
20140911|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|65|1262590.65|3187450.21
20140616|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|36|1591497.1|3203339.07
20140808|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|44|1006103.27|2238466.45
20141217|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|61|1444867.94|3099309.54
20141027|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|45|1036206.36|3247399.27
20140619|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|65|2043881.67|3575747.04
20141231|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|6|45536.5|133877.51
20140716|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|66|1899999.89|3737289.51
20140106|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|8|190793|496667.28
20141118|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|51|1173429.4|2857099.84
20141110|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|39|889519.72|2045549.39
20140421|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|76|2065159.76|3941984.65
20140513|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|49|2141186|3373663.91
20140520|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|49|2226071.76|3501868.79
20140602|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|76|2506468.95|4346840.24
20140514|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|83|3376057.51|7835638.51
20140116|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|44|1323142.09|3004109.94
20140306|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|87|2749894.61|4894075.38
20140515|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|75|1630477.13|3086306.22
20140128|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|31|664362.39|1267523.1
20140312|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|56|1791658.8|3707468.22
20140408|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|49|1464581.4|2177422.14
20140509|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|63|2182360.28|3647354.24
20140821|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|59|1745755.43|4540647.74
20141002|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|84|1974415.95|4858570.09
20140710|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|76|2087803.05|4350325.89
20140811|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|72|1299142.78|4017596.34
20140519|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|45|2056830.85|3300469.24
20141111|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|47|1159816.96|2842255.73
20140701|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|60|4112360.8|5269617.59
20140111|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|6|179477|255186.19
20140828|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|66|1837729.24|4129073.97
20140315|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|10|187201|340109.51
20140430|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|46|992633|2173844.42
20141103|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|52|1008878.1|2754595.13
20141129|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|4|227928|470462.38
20140801|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|51|1420992.11|3729295.71
20141120|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|42|1169820.64|3175551.06
20141119|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|54|1686540.38|3725024.43
20141209|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|38|980707.56|2279544.86
